row_number,resolved_name,input_smiles,canonical_smiles,nr_er,nr_er,nr_er_prob,nr_er_risk,sr_p53_source,sr_p53,sr_p53_prob,sr_p53_risk,message,
1,ethanol,CCO,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
2,benzene,c1ccccc1,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
3,Tiratricol,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,DB,1,,,고위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
4,Actinoquinol,CCOc1ccc(S(=O)(=O)O)c2cccnc12,DB,1,,,고위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
5,Methoxyethane,CCOC,ML,0,0.2472,0.692,저위험,ML,0,0.0076,0.503,저위험,"NR-ER: 예측값 
SR-p53: 예측값"
6,,,INVALID,,,,분석 불가,INVALID,,,,분석 불가,SMILES 오류
7,aspirin,CC(=O)Oc1ccccc1C(=O)O,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
8,caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
9,Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,ML,0,0.5776,0.692,중위험,ML,1,0.7204,0.503,고위험,"NR-ER: 예측값 
SR-p53: 예측값"
10,doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,DB,0,,,저위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
11,Decitabine,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,DB,0,,,저위험,ML,0,0.3402,0.503,중위험,"NR-ER: 실제값 
SR-p53: 예측값"
12,gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,DB,0,,,저위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
13,5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,DB,0,,,저위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
