row_number,resolved_name,input_smiles,canonical_smiles,nr_er_source,nr_er_result,nr_er_prob,nr_er_risk,sr_p53_source,sr_p53_result,sr_p53_prob,sr_p53_risk,message
1,ethanol,CCO,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
2,benzene,c1ccccc1,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
3,ethoxzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,ML,0,0.6516,0.692,중위험,DB,0,,,저위험,"NR-ER: 예측값 
SR-p53: 실제값"
4,,O=S(=O)(Cl)c1ccccc1,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
5,Tiratricol,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,DB,1,,,고위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
6,Actinoquinol,CCOc1ccc(S(=O)(=O)O)c2cccnc12,DB,1,,,고위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
7,Methoxyethane,CCOC,ML,0,0.2472,0.692,저위험,ML,0,0.0076,0.503,저위험,"NR-ER: 예측값 
SR-p53: 예측값"
8,,,INVALID,,,,분석 불가,INVALID,,,,분석 불가,SMILES 오류
9,aspirin,CC(=O)Oc1ccccc1C(=O)O,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
10,caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,DB,0,,,저위험,DB,0,,,저위험,"NR-ER: 실제값 
SR-p53: 실제값"
11,Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,ML,0,0.5776,0.692,중위험,ML,1,0.7204,0.503,고위험,"NR-ER: 예측값 
SR-p53: 예측값"
12,doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,DB,0,,,저위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
13,etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,ML,0,0.5494,0.692,중위험,ML,1,0.8427,0.503,고위험,"NR-ER: 예측값 
SR-p53: 예측값"
14,camptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,ML,0,0.3964,0.692,중위험,ML,1,0.7848,0.503,고위험,"NR-ER: 예측값 
SR-p53: 예측값"
15,topotecan,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,ML,0,0.3973,0.692,중위험,DB,1,,,고위험,"NR-ER: 예측값 
SR-p53: 실제값"
16,irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,ML,0,0.4296,0.692,중위험,DB,1,,,고위험,"NR-ER: 예측값 
SR-p53: 실제값"
17,temozolomide,,INVALID,,,,분석 불가,INVALID,,,,분석 불가,"name 변환 실패
PubChem API 응답 시간이 초과되었습니다."
18,lomustine,O=NN(CCCl)C(=O)NC1CCCCC1,ML,0,0.3414,0.692,중위험,ML,0,0.035,0.503,저위험,"NR-ER: 예측값 
SR-p53: 예측값"
19,Talazoparib,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,ML,0,0.3715,0.692,중위험,ML,1,0.5579,0.503,중위험,"NR-ER: 예측값 
SR-p53: 예측값"
20,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,ML,0,0.394,0.692,중위험,ML,0,0.2779,0.503,저위험,"NR-ER: 예측값 
SR-p53: 예측값"
21,Decitabine,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,DB,0,,,저위험,ML,0,0.3402,0.503,중위험,"NR-ER: 실제값 
SR-p53: 예측값"
22,5-azacytidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,DB,0,,,저위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
23,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,ML,0,0.4426,0.692,중위험,ML,0,0.3889,0.503,중위험,"NR-ER: 예측값 
SR-p53: 예측값"
24,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,ML,0,0.3989,0.692,중위험,ML,0,0.3839,0.503,중위험,"NR-ER: 예측값 
SR-p53: 예측값"
25,RUCAPARIB,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,ML,0,0.4365,0.692,중위험,ML,0,0.3556,0.503,중위험,"NR-ER: 예측값 
SR-p53: 예측값"
26,gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,DB,0,,,저위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
27,5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,DB,0,,,저위험,DB,1,,,고위험,"NR-ER: 실제값 
SR-p53: 실제값"
